STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QUALITAETS_NIVEAU,ART,LUFTTEMPERATUR_MAXIMUM,LUFTTEMPERATUR,LUFTTEMPERATUR_MINIMUM,WINDSTAERKE,BEDECKUNGSGRAD,ART,SONNENSCHEINDAUER,ART,NIEDERSCHLAGSHOEHE,ART,max(LUFTTEMPERATUR_MAXIMUM),min(LUFTTEMPERATUR_MINIMUM),max(WINDSPITZE_MAXIMUM),ART,max(NIEDERSCHLAGSHOEHE)
1262,19920601,19920630,10,1,22.3,17.0,11.7,2.03,4.96,2,178.6,2,42.3,6,29.1,7.70,24.2,6,15.3
1262,19920701,19920731,10,1,25.0,19.6,13.7,2.06,4.51,2,231.3,2,44.1,6,33.3,8.60,30.4,6,7.7
1262,19920801,19920831,10,1,28.5,21.5,14.2,1.78,4.05,2,261.5,2,77.2,6,35.1,7.80,21.1,6,16.2
1262,19920901,19920930,10,1,19.3,13.8,8.7,1.94,4.37,2,158.5,2,71.6,6,25.1,0.90,26.2,6,20.7
1262,19921001,19921031,10,1,10.7,7.1,4.0,2.39,6.20,2,48.0,2,82.3,6,18.6,-3.20,28.8,6,18.9
1262,19921101,19921130,10,1,8.6,5.3,1.3,2.55,6.31,2,37.1,2,86.5,6,15.4,-2.30,28.3,6,10.8
1262,19921201,19921231,10,1,1.9,-0.7,-3.0,1.97,5.72,2,41.8,2,37.7,6,12.2,-11.80,19.5,6,7.1
1262,19930101,19930131,10,1,6.4,2.2,-2.1,2.93,4.89,2,82.9,2,40.7,6,18.5,-14.80,31.9,6,7.4
1262,19930201,19930228,10,1,0.4,-2.6,-5.7,2.02,6.45,2,39.4,2,18.8,6,7.1,-16.30,23.7,6,7.2
1262,19930301,19930331,10,1,7.8,2.8,-1.8,2.32,4.23,2,154.2,2,20.4,6,18.6,-12.30,23.1,6,5.6
1262,19930401,19930430,10,1,15.8,10.5,4.5,2.38,4.96,2,176.2,2,28.8,6,24.8,-2.30,20.6,6,7.0
1262,19930501,19930531,10,1,21.9,15.8,9.0,2.26,4.33,2,260.7,2,68.1,6,30.7,3.00,27.8,6,23.2
1262,19930601,19930630,10,1,21.4,16.5,11.2,2.32,4.95,2,193.8,2,118.3,6,29.1,4.40,24.2,6,41.2
1262,19930701,19930731,10,1,22.0,16.7,12.1,2.29,5.02,2,168.3,2,211.3,6,29.2,7.20,20.6,6,37.8
1262,19930801,19930831,10,1,23.0,17.1,11.1,1.81,4.00,2,230.9,2,92.0,6,32.5,2.70,23.1,6,18.9
1262,19930901,19930930,10,1,18.4,13.0,8.4,2.24,5.37,2,155.6,2,92.6,6,29.6,2.00,19.0,6,22.5
1262,19931001,19931031,10,1,11.6,7.8,4.6,2.05,6.41,2,73.5,2,82.9,6,22.0,-3.20,17.0,6,29.3
1262,19931101,19931130,10,1,2.4,0.2,-2.0,1.99,6.85,2,24.7,2,18.2,6,14.0,-10.20,22.1,6,5.5
1262,19931201,19931231,10,1,6.9,3.4,-0.5,3.11,6.56,2,34.3,2,79.8,6,16.7,-7.60,30.9,6,17.2
1262,19940101,19940131,10,1,5.8,2.5,-0.4,2.72,6.50,2,47.4,2,57.1,6,14.4,-9.50,34.0,6,10.0
1262,19940201,19940228,10,1,4.8,0.6,-3.1,2.21,5.34,2,88.1,2,25.9,6,15.2,-11.50,19.0,6,11.8
1262,19940301,19940331,10,1,12.4,7.9,3.8,3.16,6.07,2,99.6,2,59.8,6,19.0,-3.20,29.3,6,10.7
1262,19940401,19940430,10,1,12.1,7.6,2.8,2.39,5.83,2,133.3,2,84.2,6,22.7,-3.10,23.1,6,25.2
1262,19940501,19940531,10,1,18.5,13.3,7.6,2.30,4.67,2,213.9,2,46.9,6,24.3,2.20,17.5,6,6.8
1262,19940601,19940630,10,1,22.7,17.5,11.2,2.38,5.06,2,205.7,2,63.5,6,32.2,4.20,25.7,6,27.0
1262,19940701,19940731,10,1,27.2,21.1,14.2,1.76,3.52,2,293.6,2,84.1,6,32.3,11.00,25.7,6,34.2
1262,19940801,19940831,10,1,24.9,19.0,13.3,2.12,4.41,2,240.2,2,63.6,6,32.6,4.50,17.0,6,13.3
1262,19940901,19940930,10,1,18.7,13.9,9.7,2.11,5.51,2,121.9,2,73.4,6,25.7,1.50,17.0,6,12.9
1262,19941001,19941031,10,1,13.0,7.0,2.1,1.87,4.71,2,137.8,2,31.9,6,19.5,-2.60,18.5,6,8.8
1262,19941101,19941130,10,1,10.1,7.4,4.6,2.08,6.78,2,39.3,2,62.5,6,18.2,-1.10,17.5,6,24.8
1262,19941201,19941231,10,1,5.5,2.7,-0.2,2.36,6.65,2,49.1,2,73.1,6,12.3,-7.00,21.6,6,15.5
1262,19950101,19950131,10,1,2.1,-1.4,-5.3,2.74,5.91,2,70.0,2,56.1,6,13.5,-17.30,29.3,6,9.9
1262,19950201,19950228,10,1,9.2,4.6,0.0,2.52,5.87,2,70.3,2,48.9,6,16.5,-4.30,21.6,6,9.4
1262,19950301,19950331,10,1,7.7,2.9,-1.2,2.89,5.06,2,143.3,2,70.0,6,16.2,-6.00,24.7,6,17.2
1262,19950401,19950430,10,1,13.6,9.1,4.8,2.88,6.14,2,110.2,2,62.9,6,23.9,-1.50,19.0,6,19.4
1262,19950501,19950531,10,1,18.2,13.2,7.1,2.14,4.96,2,230.2,2,72.9,6,26.7,-0.10,19.0,6,34.5
1262,19950601,19950630,10,1,18.4,14.3,9.9,1.97,5.80,2,137.2,2,203.4,6,28.2,2.30,14.9,6,71.1
1262,19950701,19950731,10,1,26.4,20.4,14.2,1.78,3.52,2,288.6,2,94.7,6,33.7,9.20,20.1,6,36.6
1262,19950801,19950831,10,1,22.6,17.3,11.9,2.03,4.69,2,201.7,2,114.8,6,29.0,7.90,22.1,6,19.7
1262,19950901,19950930,10,1,17.3,12.4,7.9,2.19,5.83,2,136.5,2,50.0,6,23.7,2.10,23.7,6,19.7
1262,19951001,19951031,10,1,16.1,11.3,7.1,1.49,5.96,2,116.1,2,8.9,6,22.6,-2.20,9.8,6,1.9
